time,latitude,longitude,ph
2022-07-01,21.0,90.5,8.080658
2022-07-01,20.25,88.75,8.042819
2022-07-01,21.25,88.5,8.219481
2022-07-01,21.5,88.5,8.256908
2022-07-01,20.0,90.5,8.049111
2022-07-01,20.25,89.75,8.058007
2022-07-01,21.5,89.25,8.267146
2022-07-01,21.5,90.5,8.1875725
2022-07-01,21.5,90.25,8.190187
2022-07-01,20.0,89.5,8.051952
2022-07-01,20.0,88.5,8.044831
2022-07-01,20.0,89.0,8.041531
2022-07-01,21.5,89.0,8.277717
2022-07-01,21.75,89.75,8.303079
2022-07-01,21.5,89.5,8.281396
2022-07-01,21.0,88.75,8.156587
2022-07-01,21.0,88.5,8.157548
2022-07-01,21.5,90.0,8.254399
2022-07-01,21.5,89.75,8.271551
2022-07-01,20.0,89.25,8.047026
2022-07-01,20.0,87.25,8.072391
2022-07-01,20.25,89.5,8.057518
2022-07-01,21.75,90.75,8.23302
2022-07-01,21.5,90.75,8.168798
2022-07-01,20.0,88.75,8.039549
2022-07-01,21.0,88.25,8.156184
2022-07-01,21.0,89.0,8.138445
2022-07-01,21.5,88.75,8.269174
2022-07-01,20.0,89.75,8.052361
2022-07-01,22.25,91.0,8.267248
2022-08-01,21.25,89.5,8.226003
2022-08-01,20.0,89.0,8.059963
2022-08-01,20.75,89.25,8.11502
2022-08-01,21.25,87.5,8.167932
2022-08-01,20.5,87.5,8.097558
2022-08-01,20.5,89.25,8.084391
2022-08-01,21.25,89.0,8.258537
2022-08-01,20.75,89.0,8.143198
2022-08-01,20.25,87.25,8.089099
2022-08-01,20.5,89.0,8.091254
2022-08-01,20.5,87.25,8.090121
2022-08-01,21.5,90.75,8.198684
2022-08-01,21.5,90.0,8.313178
2022-08-01,21.25,89.25,8.248815
2022-08-01,21.75,88.0,8.275488
2022-08-01,21.5,89.75,8.317679
2022-08-01,21.25,88.0,8.28763
2022-08-01,21.25,88.75,8.28657
2022-08-01,20.25,88.0,8.133583
2022-08-01,20.5,89.5,8.079196
2022-08-01,21.5,90.5,8.236896
2022-08-01,20.0,88.25,8.098024
2022-08-01,20.5,87.0,8.091749
2022-08-01,20.75,89.75,8.089275
2022-08-01,20.25,87.75,8.124596
2022-08-01,20.0,87.75,8.120939
2022-08-01,21.25,87.75,8.227036
2022-08-01,21.5,90.25,8.231076
2022-08-01,20.5,89.75,8.071674
2022-08-01,21.25,88.25,8.304566
2022-08-01,22.0,91.0,8.352507
2022-08-01,20.75,89.5,8.096175
2022-08-01,20.75,88.75,8.173996
2022-08-01,21.25,88.5,8.302785
2022-08-01,20.0,88.75,8.068347
2022-08-01,21.75,90.0,8.307627
2022-08-01,20.25,87.5,8.10385
2022-08-01,21.75,90.5,8.311367
2022-08-01,20.75,90.0,8.078699
2022-08-01,20.5,91.0,8.064081
2022-08-01,20.0,89.25,8.056871
2022-08-01,20.5,90.0,8.060771
2022-08-01,21.75,91.0,8.241291
2022-08-01,22.25,90.75,8.185917
2022-08-01,20.0,89.5,8.055379
2022-08-01,20.75,87.5,8.099401
2022-08-01,21.5,87.5,8.257064
2022-08-01,20.5,90.5,8.060105
2022-08-01,21.5,89.0,8.285527
2022-08-01,21.5,87.75,8.288016
2022-08-01,20.5,88.25,8.153948
2022-08-01,20.75,87.25,8.11258
2022-08-01,21.25,87.25,8.15989
2022-08-01,20.0,90.25,8.0459385
2022-08-01,21.75,87.75,8.284782
2022-08-01,20.5,90.75,8.062956
2022-08-01,21.5,88.0,8.3096485
2022-08-01,20.75,87.0,8.113343
2022-08-01,20.0,87.0,8.077502
2022-08-01,21.5,88.25,8.297953
2022-08-01,20.0,90.0,8.04815
2022-08-01,21.5,88.75,8.283593
2022-08-01,22.25,91.0,8.334478
2022-08-01,20.5,88.5,8.138099
2022-08-01,20.0,89.75,8.052052
2022-08-01,20.25,87.0,8.074336
2022-08-01,20.0,90.5,8.044414
2022-08-01,20.5,88.0,8.144299
2022-08-01,21.25,89.75,8.189807
2022-08-01,20.75,88.5,8.183841
2022-08-01,21.5,88.5,8.29538
2022-08-01,21.25,90.0,8.086066
2022-08-01,21.75,90.75,8.283417
2022-08-01,20.5,90.25,8.057714
2022-08-01,21.25,90.25,8.079084
2022-08-01,20.0,91.0,8.042949
2022-08-01,21.5,89.5,8.319403
2022-08-01,21.25,90.5,8.179083
2022-08-01,20.75,87.75,8.117137
2022-08-01,20.5,87.75,8.1198
2022-08-01,20.0,88.5,8.080243
2022-08-01,21.25,90.75,8.158376
2022-08-01,20.0,90.75,8.043932
2022-08-01,21.5,89.25,8.290138
2022-08-01,20.75,88.0,8.146177
2022-08-01,20.0,87.5,8.1078825
2022-08-01,20.5,88.75,8.110494
2022-08-01,21.25,91.0,8.139873
2022-08-01,21.75,90.25,8.316915
2022-08-01,21.5,87.25,8.237678
2022-08-01,20.75,88.25,8.176318
2022-08-01,20.75,90.25,8.070594
2022-08-01,21.0,88.0,8.205642
2022-08-01,21.0,89.5,8.160715
2022-08-01,21.0,89.25,8.188242
2022-08-01,20.25,89.75,8.062381
2022-08-01,21.0,91.0,8.100178
2022-08-01,20.75,90.5,8.069033
2022-08-01,21.0,87.0,8.136424
2022-08-01,20.25,90.0,8.053858
2022-08-01,21.5,91.0,8.152765
2022-08-01,21.0,90.5,8.106504
2022-08-01,20.25,88.5,8.095014
2022-08-01,20.25,90.25,8.05054
2022-08-01,21.0,89.0,8.214446
2022-08-01,22.5,91.0,7.918849
2022-08-01,21.0,88.5,8.250196
2022-08-01,20.25,90.5,8.051967
2022-08-01,22.5,90.75,7.6669564
2022-08-01,20.25,89.5,8.067033
2022-08-01,20.75,91.0,8.077235
2022-08-01,20.75,90.75,8.072668
2022-08-01,21.0,90.25,8.111637
2022-08-01,21.0,87.75,8.14865
2022-08-01,21.0,87.5,8.121739
2022-08-01,20.0,87.25,8.093551
2022-08-01,20.0,88.0,8.1166
2022-08-01,20.25,90.75,8.052177
2022-08-01,21.75,89.5,8.304408
2022-08-01,21.75,89.75,8.317496
2022-08-01,21.0,88.75,8.238679
2022-08-01,20.25,88.75,8.078661
2022-08-01,21.0,90.75,8.102595
2022-08-01,20.25,89.0,8.072908
2022-08-01,21.0,90.0,8.123415
2022-08-01,20.25,91.0,8.049914
2022-08-01,22.0,90.5,8.396875
2022-08-01,20.25,89.25,8.070006
2022-08-01,21.0,89.75,8.144407
2022-08-01,22.0,90.75,8.395748
2022-08-01,21.0,87.25,8.124563
2022-08-01,21.25,87.0,8.185493
2022-08-01,20.25,88.25,8.120695
2022-08-01,21.0,88.25,8.243276
2022-09-01,22.25,90.75,8.119157
2022-09-01,20.0,91.0,8.05699
2022-09-01,20.75,91.0,8.1005535
2022-09-01,20.25,89.25,8.062184
2022-09-01,21.5,89.0,8.259837
2022-09-01,21.25,90.0,8.066888
2022-09-01,21.0,90.25,8.185162
2022-09-01,20.5,90.5,8.078427
2022-09-01,20.75,88.5,8.183408
2022-09-01,21.0,87.25,8.092669
2022-09-01,20.75,87.0,8.07024
2022-09-01,20.25,89.5,8.063264
2022-09-01,20.5,88.0,8.14103
2022-09-01,21.25,89.75,8.19219
2022-09-01,21.25,90.25,8.080523
2022-09-01,21.75,90.75,8.395786
2022-09-01,21.75,89.5,8.220273
2022-09-01,20.5,88.25,8.139975
2022-09-01,20.0,90.25,8.062234
2022-09-01,21.5,87.75,8.25664
2022-09-01,21.5,89.25,8.241236
2022-09-01,20.75,88.75,8.17554
2022-09-01,20.5,88.75,8.107629
2022-09-01,20.0,87.25,8.105381
2022-09-01,21.0,89.5,8.159947
2022-09-01,20.75,87.25,8.075373
2022-09-01,20.25,87.0,8.076684
2022-09-01,20.25,88.75,8.074428
2022-09-01,21.75,87.75,8.247456
2022-09-01,21.0,87.5,8.08102
2022-09-01,20.0,89.5,8.061574
2022-09-01,21.5,88.75,8.291418
2022-09-01,21.25,90.5,8.319339
2022-09-01,20.0,90.0,8.060418
