time,latitude,longitude,spco2
2022-03-01,22.0,91.0,27.369144
2022-03-01,20.75,89.75,34.09075
2022-03-01,20.25,90.0,34.46882
2022-03-01,21.25,89.25,32.293312
2022-03-01,21.0,88.5,32.439037
2022-03-01,21.0,88.0,33.200943
2022-03-01,20.75,89.25,33.871296
2022-03-01,20.25,88.5,34.626556
2022-03-01,21.25,89.0,32.036324
2022-03-01,21.5,90.25,35.069668
2022-03-01,20.25,89.75,34.460514
2022-03-01,20.5,90.0,34.419975
2022-03-01,20.5,87.75,34.17641
2022-03-01,20.5,87.25,34.132988
2022-03-01,21.75,89.5,33.871227
2022-03-01,20.25,87.5,34.418232
2022-03-01,20.0,89.0,34.755764
2022-03-01,20.75,90.5,33.771736
2022-03-01,21.25,88.75,31.520147
2022-03-01,21.75,87.75,31.790443
2022-03-01,20.75,89.5,33.980904
2022-03-01,21.25,87.0,32.95718
2022-03-01,21.25,88.5,32.014866
2022-03-01,21.75,90.75,33.886215
2022-03-01,21.5,90.5,34.85901
2022-03-01,20.0,87.75,35.2299
2022-03-01,20.25,87.25,34.156197
2022-03-01,21.0,91.0,33.366577
2022-03-01,22.25,91.0,19.591797
2022-03-01,21.5,88.5,29.174927
2022-03-01,21.75,91.0,31.700909
2022-03-01,20.25,90.25,34.478966
2022-03-01,20.75,88.25,33.366062
2022-03-01,20.75,87.25,34.27348
2022-03-01,21.75,90.5,35.648117
2022-03-01,21.5,88.75,30.086128
2022-03-01,21.0,89.0,32.629604
2022-03-01,21.5,87.25,33.149704
2022-03-01,21.0,89.5,33.040096
2022-03-01,20.0,89.75,34.597702
2022-03-01,22.0,90.75,29.857592
2022-03-01,20.0,88.5,35.172768
2022-03-01,21.75,90.0,34.113663
2022-03-01,20.0,90.75,34.455624
2022-03-01,20.0,90.25,34.35234
2022-03-01,21.0,90.0,33.578354
2022-03-01,20.5,90.75,33.918625
2022-03-01,21.5,89.0,31.22962
2022-03-01,21.75,88.0,29.233461
2022-03-01,21.0,87.0,34.009563
2022-03-01,20.75,88.0,33.601105
2022-03-01,20.75,87.5,33.954655
2022-03-01,20.5,91.0,33.874474
2022-03-01,20.5,88.25,34.26658
2022-03-01,21.0,87.5,34.264065
2022-03-01,21.0,89.75,32.938755
2022-03-01,21.5,87.75,33.544704
2022-03-01,20.5,88.5,33.977505
2022-03-01,21.0,90.25,33.843018
2022-03-01,20.25,90.5,34.263596
2022-03-01,21.5,87.5,33.200424
2022-03-01,21.25,87.5,34.010056
2022-03-01,21.25,90.5,33.77228
2022-03-01,20.25,89.0,34.372654
2022-03-01,21.5,88.25,30.559635
2022-03-01,20.75,87.0,34.340923
2022-03-01,20.5,88.75,33.784977
2022-03-01,20.0,90.5,34.25652
2022-03-01,21.75,89.75,34.556175
2022-03-01,20.75,91.0,33.673454
2022-03-01,21.0,87.25,34.314922
2022-03-01,20.5,88.0,34.436058
2022-03-01,21.25,91.0,32.99556
2022-03-01,20.0,90.0,34.62292
2022-03-01,20.75,87.75,33.72363
2022-03-01,21.0,89.25,32.891384
2022-03-01,21.25,90.75,33.360672
2022-03-01,21.5,89.25,32.39638
2022-03-01,21.5,88.0,32.910133
2022-04-01,20.0,89.0,37.51918
2022-04-01,21.75,90.75,40.769978
2022-04-01,21.5,90.5,43.408066
2022-04-01,21.0,89.25,37.10757
2022-04-01,21.25,87.0,37.895863
2022-04-01,20.5,91.0,37.534325
2022-04-01,21.25,88.75,38.873775
2022-04-01,21.0,91.0,37.324024
2022-04-01,20.5,87.25,38.63853
2022-04-01,20.25,90.0,37.43681
2022-04-01,20.75,89.5,36.523365
2022-04-01,21.5,88.75,37.59506
2022-04-01,21.75,89.75,37.454964
2022-04-01,21.75,89.5,37.40409
2022-04-01,20.25,89.75,37.21507
2022-04-01,21.5,87.5,38.512684
2022-04-01,20.75,87.75,38.418877
2022-04-01,20.5,89.75,36.726643
2022-04-01,20.25,87.5,38.224365
2022-04-01,20.75,90.5,37.041397
2022-04-01,21.25,88.5,38.854202
2022-04-01,20.75,87.5,38.539284
2022-04-01,22.5,91.0,20.725721
2022-04-01,20.75,89.75,36.531178
2022-04-01,21.0,88.25,38.47051
2022-04-01,20.25,88.25,37.043205
