time,latitude,longitude,no3
2022-01-01,22.5,91.0,35.4117
2022-01-01,20.5,87.25,1.9447496
2022-01-01,21.5,91.0,26.466845
2022-01-01,20.75,90.0,0.5132247
2022-02-01,20.25,89.25,0.16319259
2022-02-01,21.25,91.0,13.162825
2022-02-01,20.75,88.0,1.1898862
2022-02-01,20.75,87.5,1.6533086
2022-02-01,21.75,89.75,4.191398
2022-02-01,21.5,87.75,2.516453
2022-02-01,20.5,88.25,0.49561468
2022-02-01,21.0,89.75,0.9376372
2022-02-01,20.25,90.5,0.354247
2022-02-01,21.5,87.5,2.7239344
2022-02-01,20.75,87.75,1.5023396
2022-02-01,21.0,90.0,1.2752098
2022-02-01,21.0,87.25,2.1448317
2022-02-01,20.0,90.5,0.3084534
2022-02-01,20.25,89.0,0.18667234
2022-02-01,20.75,87.25,2.328574
2022-02-01,20.5,88.0,0.60565835
2022-02-01,21.5,87.25,2.5715866
2022-02-01,21.5,88.0,2.6217575
2022-02-01,20.0,90.25,0.18666427
2022-02-01,21.0,89.5,0.97101897
2022-02-01,20.25,87.0,1.7963927
2022-02-01,21.0,87.0,3.377546
2022-02-01,21.25,89.0,2.1629317
2022-02-01,21.75,89.5,3.8853939
2022-02-01,21.0,91.0,5.741376
2022-02-01,20.25,87.5,0.7305541
2022-02-01,20.5,87.25,1.7623414
2022-02-01,21.25,88.75,2.320535
2022-02-01,20.75,90.5,0.7369828
2022-02-01,20.75,89.5,0.45091462
2022-02-01,21.25,87.0,2.850861
2022-02-01,21.25,88.5,1.9033417
2022-02-01,20.75,89.75,0.47656465
2022-02-01,22.0,90.5,13.571608
2022-02-01,20.25,88.5,0.26433566
2022-02-01,20.25,87.75,0.4971641
2022-02-01,21.25,88.25,1.9452609
2022-02-01,21.25,87.25,2.1273954
2022-02-01,20.5,87.0,2.6431606
2022-02-01,20.25,91.0,0.45177102
2022-02-01,21.25,88.0,2.0397851
2022-02-01,22.5,91.0,31.501795
2022-02-01,20.75,90.0,0.5385063
2022-02-01,20.25,88.25,0.30558106
2022-02-01,20.25,88.0,0.37071604
2022-02-01,21.25,87.75,2.0691037
2022-02-01,20.0,88.0,0.1150709
2022-02-01,20.75,90.25,0.58435684
2022-02-01,20.0,88.25,0.09293406
2022-02-01,20.0,90.75,0.38668182
2022-02-01,20.75,89.25,0.49426475
2022-02-01,22.0,91.0,25.846636
2022-02-01,20.75,88.25,0.9841002
2022-02-01,21.0,90.25,1.7323653
2022-02-01,21.25,90.75,10.542396
2022-02-01,21.75,88.0,3.3011162
2022-02-01,22.0,90.75,20.176695
2022-02-01,20.75,91.0,1.6266172
2022-02-01,21.25,90.5,7.0535064
2022-02-01,20.5,87.75,0.8669907
2022-02-01,20.0,91.0,0.42907992
2022-02-01,22.25,90.75,29.46788
2022-02-01,20.25,88.75,0.22190018
2022-02-01,21.25,90.25,6.5845017
2022-02-01,21.25,89.25,1.8396307
2022-02-01,20.75,88.5,0.86025226
2022-02-01,21.25,90.0,4.5219107
2022-02-01,20.0,87.5,0.2838427
2022-02-01,20.75,88.75,0.7480349
2022-02-01,20.25,90.75,0.3943233
2022-02-01,21.0,90.75,3.7866066
2022-02-01,21.25,89.75,1.9457524
2022-02-01,20.5,87.5,1.177697
2022-02-01,21.25,89.5,1.6170474
2022-02-01,21.75,90.25,8.169716
2022-02-01,20.75,89.0,0.60829884
2022-02-01,20.25,87.25,1.1703721
2022-02-01,20.75,90.75,1.0617305
2022-02-01,21.0,90.5,2.5785048
2022-02-01,21.5,88.25,2.4627671
2022-02-01,21.25,87.5,1.9592245
2022-02-01,20.25,89.5,0.15070392
2022-02-01,21.0,87.75,2.0132976
2022-02-01,21.0,87.5,1.8842481
2022-02-01,21.0,89.0,1.5893248
2022-02-01,20.5,89.75,0.30855298
2022-02-01,20.0,89.75,0.06638456
2022-02-01,22.5,90.75,33.214466
2022-02-01,21.5,89.75,2.8083668
2022-02-01,21.5,90.5,12.519339
2022-02-01,21.5,89.0,2.6591609
2022-02-01,21.75,87.75,3.5395112
2022-02-01,21.0,88.5,1.9385365
2022-02-01,21.5,88.75,2.8504844
2022-02-01,20.0,87.0,0.853456
2022-02-01,20.25,90.0,0.2595131
2022-02-01,21.0,88.75,1.872316
2022-02-01,21.0,89.25,1.2319587
2022-02-01,20.5,91.0,0.53656685
2022-02-01,20.5,90.25,0.38792464
2022-02-01,20.5,90.0,0.34696922
2022-02-01,21.75,90.5,11.838939
2022-02-01,20.0,89.25,0.06693203
2022-02-01,20.5,90.75,0.45823744
2022-02-01,21.5,90.25,8.796831
2022-02-01,20.5,89.0,0.3466611
2022-02-01,20.25,89.75,0.18328653
2022-02-01,21.0,88.0,2.0990655
2022-02-01,22.25,91.0,31.97143
2022-02-01,20.0,88.5,0.08243473
2022-02-01,20.0,89.0,0.07295132
2022-02-01,21.75,90.75,16.517775
2022-02-01,21.5,90.0,4.036386
2022-02-01,21.75,91.0,22.019323
2022-02-01,20.0,88.75,0.076949656
2022-02-01,20.5,90.5,0.41160363
2022-02-01,21.5,89.25,2.4894884
2022-02-01,20.0,89.5,0.06411026
2022-02-01,20.5,89.5,0.29177317
2022-02-01,21.5,91.0,20.406712
2022-02-01,20.0,87.75,0.16916823
2022-02-01,20.5,88.5,0.43368202
2022-02-01,20.0,90.0,0.10381577
2022-02-01,21.5,88.5,2.5625064
2022-02-01,20.75,87.0,3.3955932
2022-02-01,21.0,88.25,2.0134969
2022-02-01,20.5,89.25,0.31097648
2022-02-01,20.0,87.25,0.4901022
2022-02-01,20.25,90.25,0.30992892
2022-02-01,21.75,90.0,4.7923007
2022-02-01,21.5,90.75,17.240154
2022-02-01,21.5,89.5,2.535174
2022-02-01,20.5,88.75,0.3870135
2022-03-01,20.75,90.75,2.9644945
2022-03-01,21.25,89.5,1.6596427
2022-03-01,20.0,87.25,0.22404861
2022-03-01,20.0,87.0,0.42281288
2022-03-01,20.75,89.0,0.84325355
2022-03-01,20.5,89.0,0.46549642
2022-03-01,20.0,91.0,1.2180985
2022-03-01,20.0,89.5,0.13055989
2022-03-01,20.25,89.5,0.17278641
2022-03-01,20.0,89.25,0.16274828
2022-03-01,20.25,88.75,0.29955405
2022-03-01,21.0,88.75,1.7226173
2022-03-01,20.5,87.5,0.87044966
2022-03-01,21.25,90.0,5.1200714
2022-03-01,20.0,87.5,0.1608631
2022-03-01,21.0,90.5,3.955979
2022-03-01,21.0,87.75,1.6142672
2022-03-01,21.5,89.5,1.5097301
2022-03-01,20.5,90.25,0.44878325
2022-03-01,20.25,87.0,1.1403344
2022-03-01,20.25,90.75,1.0623139
2022-03-01,20.75,88.5,1.2603952
2022-03-01,20.75,88.75,1.1461179
2022-03-01,21.5,89.75,1.5787864
2022-03-01,21.0,90.75,5.25146
2022-03-01,20.5,90.5,1.06052
2022-03-01,21.25,89.75,2.250224
2022-03-01,21.25,90.25,6.5045414
2022-03-01,22.25,90.75,28.028198
2022-03-01,21.75,90.25,4.3698378
2022-03-01,20.25,89.25,0.26022547
2022-03-01,21.5,90.0,1.7455026
2022-03-01,20.25,87.75,0.35565647
2022-03-01,22.5,91.0,28.45199
2022-03-01,20.0,88.0,0.11149566
2022-03-01,21.25,88.25,1.7057047
2022-03-01,21.5,90.75,9.816684
2022-03-01,22.0,90.5,8.529371
2022-03-01,20.5,87.0,1.9175133
2022-03-01,20.5,89.25,0.42179114
2022-03-01,20.25,91.0,1.7416835
2022-03-01,21.25,88.0,1.6341093
2022-03-01,20.5,89.75,0.2876675
2022-03-01,20.0,88.75,0.12293361
2022-03-01,20.25,88.25,0.22735162
2022-03-01,20.25,88.0,0.24447167
2022-03-01,20.5,89.5,0.34202537
2022-03-01,20.0,88.25,0.09451389
2022-03-01,20.75,90.0,0.7713205
2022-03-01,21.25,87.25,1.8917758
2022-03-01,21.25,87.75,1.6359706
2022-03-01,20.75,90.25,1.5870425
2022-03-01,21.5,91.0,12.466131
2022-03-01,22.5,90.75,30.966974
2022-03-01,21.0,88.25,1.7101492
2022-03-01,22.0,91.0,18.93766
2022-03-01,20.75,89.75,0.54193527
2022-03-01,20.25,90.0,0.12066244
2022-03-01,21.25,89.25,1.6479214
2022-03-01,21.0,88.5,1.7016324
2022-03-01,21.0,88.0,1.6803181
2022-03-01,20.75,89.25,0.68001395
2022-03-01,20.25,88.5,0.27915046
2022-03-01,21.25,89.0,1.7636726
2022-03-01,21.5,90.25,4.6595917
2022-03-01,20.25,89.75,0.1240593
2022-03-01,20.5,90.0,0.25378594
2022-03-01,20.5,87.75,0.6845878
2022-03-01,20.5,87.25,1.4217452
2022-03-01,21.75,89.5,1.993436
2022-03-01,20.25,87.5,0.5226218
2022-03-01,20.0,89.0,0.14630713
2022-03-01,20.75,90.5,2.256303
2022-03-01,21.25,88.75,1.7848542
2022-03-01,21.75,87.75,3.124277
2022-03-01,20.75,89.5,0.5830987
2022-03-01,21.25,87.0,2.4763014
2022-03-01,21.25,88.5,1.6557933
2022-03-01,21.75,90.75,9.453051
2022-03-01,21.5,90.5,7.3090725
2022-03-01,20.0,87.75,0.13889198
2022-03-01,20.25,87.25,0.81498206
2022-03-01,21.0,91.0,6.7775483
2022-03-01,22.25,91.0,28.857508
2022-03-01,21.5,88.5,2.2019231
2022-03-01,21.75,91.0,11.919009
2022-03-01,20.25,90.25,0.16169289
2022-03-01,20.75,88.25,1.2621582
2022-03-01,20.75,87.25,2.0864666
2022-03-01,21.75,90.5,7.093792
2022-03-01,21.5,88.75,2.1500142
2022-03-01,21.0,89.0,1.4483546
2022-03-01,21.5,87.25,2.8205965
2022-03-01,21.0,89.5,1.0468625
2022-03-01,20.0,89.75,0.093548484
2022-03-01,22.0,90.75,14.752992
2022-03-01,20.0,88.5,0.09255409
2022-03-01,21.75,90.0,2.4018338
2022-03-01,20.0,90.75,0.81342274
2022-03-01,20.0,90.25,0.1539344
2022-03-01,21.0,90.0,2.5410142
2022-03-01,20.5,90.75,1.6811823
2022-03-01,21.5,89.0,1.862863
2022-03-01,21.75,88.0,3.0385327
2022-03-01,21.0,87.0,2.7460082
2022-03-01,20.75,88.0,1.247809
2022-03-01,20.75,87.5,1.2519172
2022-03-01,20.5,91.0,2.3563807
2022-03-01,20.5,88.25,0.49036488
2022-03-01,21.0,87.5,1.6000785
2022-03-01,21.0,89.75,1.293319
2022-03-01,21.5,87.75,2.3832572
2022-03-01,20.5,88.5,0.586928
2022-03-01,21.0,90.25,3.4435613
2022-03-01,20.25,90.5,0.43811196
2022-03-01,21.5,87.5,2.7199671
2022-03-01,21.25,87.5,1.6915576
2022-03-01,21.25,90.5,5.3086386
2022-03-01,20.25,89.0,0.27121237
2022-03-01,21.5,88.25,2.4322174
2022-03-01,20.75,87.0,2.7143662
2022-03-01,20.5,88.75,0.55800813
2022-03-01,20.0,90.5,0.42992744
2022-03-01,21.75,89.75,2.2138102
2022-03-01,20.75,91.0,3.9863305
2022-03-01,21.0,87.25,1.8850921
2022-03-01,20.5,88.0,0.4824169
2022-03-01,21.25,91.0,9.421665
2022-03-01,20.0,90.0,0.09149809
2022-03-01,20.75,87.75,1.2150129
2022-03-01,21.0,89.25,1.2399278
2022-03-01,21.25,90.75,7.132314
2022-03-01,21.5,89.25,1.6383582
2022-03-01,21.5,88.0,2.4099193
2022-04-01,20.0,89.0,0.24685682
2022-04-01,21.75,90.75,8.687699
2022-04-01,21.5,90.5,6.9285154
2022-04-01,21.0,89.25,0.3662144
